temp_c,condition,wind_kph,wind_degree,wind_dir,pressure_mb,precip_mm,humidity,cloud,windchill_c,dewpoint_c,will_it_rain,vis_km,uv,hour_of_day,day,45_chance_rain,100_chance_rain
5.6,Clear,8.3,79,0,1030.0,0.0,75,0,3.7,1.5,0,10.0,0.0,0,1,0,0
5.3,Clear,9.4,91,0,1030.0,0.0,74,0,3.2,1.1,0,10.0,0.0,1,1,0,0
5.1,Clear,8.6,90,0,1030.0,0.0,73,0,3.1,0.7,0,10.0,0.0,2,1,0,0
5.0,Clear,8.6,89,0,1030.0,0.0,72,0,2.9,0.4,0,10.0,0.0,3,1,0,0
4.8,Clear,9.0,93,0,1029.0,0.0,72,2,2.7,0.2,0,10.0,0.0,4,1,0,0
4.7,Clear,8.6,89,0,1029.0,0.0,72,0,2.6,0.0,0,10.0,0.0,5,1,0,0
4.6,Clear,9.0,94,0,1028.0,0.0,72,0,2.4,-0.0,0,10.0,0.0,6,1,0,0
4.4,Clear,7.2,89,0,1029.0,0.0,72,0,2.7,-0.1,0,10.0,0.0,7,1,0,0
4.5,Clear,8.3,95,0,1029.0,0.0,73,0,2.4,-0.0,0,10.0,0.0,8,1,0,0
5.5,Sunny,7.9,100,0,1029.0,0.0,70,0,3.7,0.5,0,10.0,3.0,9,1,0,0
8.0,Sunny,6.8,107,2,1029.0,0.0,62,2,6.9,1.2,0,10.0,3.0,10,1,0,0
10.1,Sunny,6.5,118,2,1029.0,0.0,56,5,9.4,1.7,0,10.0,4.0,11,1,0,0
11.7,Sunny,5.4,134,9,1029.0,0.0,51,16,11.6,2.1,0,10.0,4.0,12,1,0,0
12.5,Sunny,6.8,156,10,1027.0,0.0,50,3,12.2,2.3,0,10.0,4.0,13,1,0,0
12.6,Sunny,7.9,184,8,1027.0,0.0,50,22,12.0,2.6,0,10.0,4.0,14,1,0,0
12.1,Overcast,7.6,188,8,1026.0,0.0,56,100,11.6,3.5,0,10.0,3.0,15,1,0,0
11.1,Overcast,7.2,197,11,1026.0,0.0,64,100,10.4,4.5,0,10.0,3.0,16,1,0,0
9.7,Sunny,6.1,199,11,1026.0,0.0,69,6,9.1,4.3,0,10.0,3.0,17,1,0,0
9.2,Overcast,5.8,168,10,1027.0,0.0,71,100,8.7,4.2,0,10.0,0.0,18,1,0,0
9.1,Partly cloudy,5.0,151,10,1027.0,0.0,71,50,8.7,4.1,0,10.0,0.0,19,1,0,0
9.0,Cloudy,6.5,143,9,1027.0,0.0,71,81,8.2,4.0,0,10.0,0.0,20,1,0,0
9.0,Overcast,6.1,141,9,1027.0,0.0,70,93,8.3,3.9,0,10.0,0.0,21,1,0,0
9.1,Cloudy,7.2,140,9,1027.0,0.0,70,77,8.1,3.9,0,10.0,0.0,22,1,0,0
8.4,Overcast,7.2,140,9,1027.0,0.0,73,100,7.3,3.8,0,10.0,0.0,23,1,0,0
7.1,Clear,7.9,113,2,1028.0,0.0,74,10,5.7,2.8,0,10.0,0.0,0,2,0,0
6.6,Clear,8.6,110,2,1027.0,0.0,76,12,4.9,2.7,0,10.0,0.0,1,2,0,0
6.5,Clear,7.9,115,2,1027.0,0.0,77,25,4.9,2.7,0,10.0,0.0,2,2,0,0
6.3,Partly cloudy,7.9,118,2,1027.0,0.0,78,29,4.7,2.7,0,10.0,0.0,3,2,0,0
6.2,Partly cloudy,7.9,119,2,1027.0,0.0,79,32,4.5,2.8,0,10.0,0.0,4,2,0,0
6.1,Partly cloudy,8.6,119,2,1027.0,0.0,80,30,4.3,2.9,0,10.0,0.0,5,2,0,0
6.1,Clear,8.6,119,2,1027.0,0.0,80,22,4.3,2.9,0,10.0,0.0,6,2,0,0
5.9,Clear,8.3,115,2,1027.0,0.0,81,23,4.1,2.9,0,10.0,0.0,7,2,0,0
5.9,Clear,9.7,116,2,1027.0,0.0,81,14,3.8,2.9,0,10.0,0.0,8,2,0,0
6.9,Partly cloudy,7.6,119,2,1027.0,0.0,78,45,5.5,3.3,0,10.0,3.0,9,2,0,0
8.3,Cloudy,7.9,132,9,1028.0,0.0,74,63,7.0,4.0,0,10.0,2.0,10,2,0,0
10.5,Cloudy,9.4,141,9,1028.0,0.0,66,75,9.3,4.5,0,10.0,3.0,11,2,0,0
11.5,Cloudy,10.4,149,10,1027.0,0.0,63,80,10.4,4.6,0,10.0,3.0,12,2,0,0
12.2,Partly cloudy,11.9,161,10,1026.0,0.0,60,60,11.0,4.7,0,10.0,4.0,13,2,0,0
12.8,Cloudy,12.6,172,8,1026.0,0.0,59,85,11.7,5.0,0,10.0,3.0,14,2,0,0
12.7,Overcast,12.2,180,8,1026.0,0.0,61,99,11.5,5.4,0,10.0,3.0,15,2,0,0
12.0,Cloudy,10.8,181,8,1026.0,0.0,67,65,11.0,6.1,0,10.0,3.0,16,2,0,0
11.2,Partly cloudy,9.4,180,8,1026.0,0.0,71,52,10.1,6.1,0,10.0,4.0,17,2,0,0
10.5,Partly cloudy,9.0,167,10,1026.0,0.0,73,62,9.4,5.9,0,10.0,0.0,18,2,0,0
10.5,Cloudy,9.0,155,10,1026.0,0.0,72,83,9.4,5.6,0,10.0,0.0,19,2,0,0
10.3,Partly cloudy,9.0,144,9,1026.0,0.0,71,56,9.2,5.4,0,10.0,0.0,20,2,0,0
10.1,Overcast,9.4,139,9,1026.0,0.0,71,100,8.9,5.1,0,10.0,0.0,21,2,0,0
10.0,Overcast,9.4,136,9,1026.0,0.0,70,100,8.8,4.7,0,10.0,0.0,22,2,0,0
10.3,Overcast,10.4,142,9,1026.0,0.0,68,100,9.0,4.7,0,10.0,0.0,23,2,0,0
10.3,Overcast,10.1,142,9,1027.0,0.0,71,100,9.0,5.4,0,10.0,0.0,0,3,0,0
10.5,Overcast,9.7,146,10,1026.0,0.0,71,95,9.3,5.4,0,10.0,0.0,1,3,0,0
10.2,Overcast,9.4,151,10,1026.0,0.0,71,97,9.0,5.2,0,10.0,0.0,2,3,1,0
10.4,Overcast,10.1,152,10,1026.0,0.0,70,100,9.1,5.2,0,10.0,0.0,3,3,1,0
10.3,Patchy rain possible,10.8,147,10,1026.0,0.02,70,100,8.9,5.2,0,10.0,0.0,4,3,1,0
10.2,Patchy rain possible,10.4,143,9,1025.0,0.02,71,97,8.9,5.2,0,10.0,0.0,5,3,1,0
10.2,Patchy rain possible,9.7,142,9,1025.0,0.01,71,93,9.0,5.1,0,10.0,0.0,6,3,1,0
10.3,Patchy rain possible,9.7,145,9,1025.0,0.02,70,96,9.1,5.1,0,10.0,0.0,7,3,1,0
10.4,Patchy rain possible,10.1,149,10,1025.0,0.04,71,97,9.0,5.4,0,10.0,0.0,8,3,1,0
10.6,Patchy rain possible,10.4,147,10,1026.0,0.01,71,100,9.2,5.5,0,10.0,3.0,9,3,1,0
11.4,Overcast,11.2,151,10,1026.0,0.0,70,100,10.2,6.1,0,10.0,3.0,10,3,1,0
11.5,Patchy rain possible,10.4,153,10,1026.0,0.01,71,100,10.4,6.4,0,10.0,3.0,11,3,1,0
11.6,Overcast,11.2,158,10,1026.0,0.0,73,100,10.4,6.9,0,10.0,3.0,12,3,1,0
12.3,Overcast,11.9,170,8,1025.0,0.0,75,100,11.1,8.0,0,10.0,3.0,13,3,0,0
12.6,Overcast,12.2,181,8,1024.0,0.0,78,93,11.4,8.9,0,10.0,3.0,14,3,0,0
13.5,Overcast,15.5,192,11,1024.0,0.0,80,100,12.1,10.0,0,10.0,3.0,15,3,1,0
13.2,Overcast,16.2,187,8,1024.0,0.0,83,100,11.8,10.4,0,10.0,3.0,16,3,1,0
12.9,Overcast,15.5,185,8,1024.0,0.0,84,100,11.4,10.3,0,10.0,3.0,17,3,0,0
12.8,Overcast,15.5,178,8,1024.0,0.0,85,100,11.3,10.2,0,10.0,0.0,18,3,1,0
12.8,Overcast,15.5,171,8,1024.0,0.0,83,100,11.4,10.0,0,10.0,0.0,19,3,1,0
12.8,Overcast,14.4,168,10,1024.0,0.0,81,100,11.4,9.6,0,10.0,0.0,20,3,1,0
12.4,Overcast,14.0,163,10,1024.0,0.0,80,97,11.0,9.1,0,10.0,0.0,21,3,1,0
11.8,Overcast,13.0,152,10,1024.0,0.0,81,99,10.4,8.7,0,10.0,0.0,22,3,1,0
11.9,Cloudy,12.2,149,10,1024.0,0.0,82,87,10.5,8.8,0,10.0,0.0,23,3,0,0
12.0,Overcast,11.2,146,10,1025.0,0.0,79,100,10.9,8.6,0,10.0,0.0,0,4,0,0
12.0,Overcast,11.2,148,10,1024.0,0.0,79,100,10.8,8.5,0,10.0,0.0,1,4,0,0
11.9,Overcast,11.5,149,10,1023.0,0.0,80,100,10.7,8.6,0,10.0,0.0,2,4,1,0
11.9,Overcast,11.5,150,10,1023.0,0.0,80,100,10.7,8.6,0,10.0,0.0,3,4,1,0
11.8,Overcast,11.2,151,10,1022.0,0.0,80,100,10.7,8.6,0,10.0,0.0,4,4,1,0
11.8,Overcast,11.9,152,10,1022.0,0.0,80,100,10.5,8.5,0,10.0,0.0,5,4,1,0
11.8,Overcast,12.2,155,10,1022.0,0.0,80,100,10.5,8.5,0,10.0,0.0,6,4,1,0
